date,year,region,product,revenue,cost,discount_applied
2024-01-15,2024,South,Product-A,1200000,850000,8
2024-02-18,2024,South,Product-A,1150000,820000,9
2024-03-10,2024,South,Product-A,1100000,800000,10
2025-01-20,2025,South,Product-A,900000,790000,12
2025-02-22,2025,South,Product-A,850000,780000,12
2025-03-15,2025,South,Product-A,800000,760000,13

2024-01-12,2024,North,Product-B,1500000,1000000,5
2024-06-15,2024,North,Product-B,1550000,1050000,5
2025-01-18,2025,North,Product-B,1800000,1100000,4
2025-06-20,2025,North,Product-B,1900000,1150000,5

2025-01-05,2025,East,Product-C,600000,400000,18
2025-02-10,2025,East,Product-C,550000,380000,20
2025-03-30,2025,East,Product-A,450000,400000,16

2024-01-01,2024,West,Product-A,2000000,1500000,2
2025-01-01,2025,West,Product-A,2200000,1600000,3
